scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,se_bias,se_ci_width,se_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad,mean_n_divergent,max_n_divergent,pct_reps_with_divergence,pct_reps_many_divergence,mean_n_max_treedepth,min_ebfmi_worst,category
A1,default,treatment_effect_mean,-0.3374485596707819,25,0.96,-0.003407208413418088,-0.0015372111292180635,0.017591166590045743,0.06760235986,0.02066486782856543,0.0035227834214478907,0.0017766830651957679,5.525940541158409e-4,1.0100163841502847,443.76153383193787,0,0,0,0,0,0,0.5623362399068009,AF
A10,default,treatment_effect_mean,-0.15,25,0.88,-3.2791442380000535e-4,-3.2502627500000103e-4,0.006365207289866898,0.022995202779999998,0.00701912548040083,0.0012975672104242907,6.763582017289044e-4,2.0517481024330905e-4,1.0137445849557327,170.08645175960672,0,0,0,0,0,0,0.6701566286956134,AF
A11,default,treatment_effect_mean,-0.3374485596707819,15,0.8,0.007224295096115241,0.006348804810781927,0.016642820824013985,0.06336108533333332,0.01940471650630489,0.004007074505925015,0.003625717231568137,0.0010980602340087831,1.0070697343974522,346.64415571873457,0,0,0,0,0,0,0.7155436097737641,AF
A12,individual,treatment_effect_mean,-0.3374485596707819,15,0.8,0.0026527636844485745,0.004600052210781913,0.025049767690049657,0.06265762116666665,0.019177431663952662,0.0066571857318664445,0.002627467825287823,7.423408609589728e-4,1.0093348306187169,572.6145290546087,0,0,0,0,0,0,0.5913615651952547,AF
A12,summary,treatment_effect_mean,-0.3374485596707819,15,0.8,0.0028252374394485765,0.0026716494907819133,0.025038506002933968,0.06240700373333333,0.019101964957818556,0.006649085953667929,0.002666094829728541,8.331358392503415e-4,1.0071988620112715,460.8267747757175,0,0,0,0,0,0,0.5966910956003911,AF
A13,hierarchical_rho,treatment_effect_mean,-0.3374485596707819,25,0.8,0.010222030572181908,0.010359444185781885,0.019152903781264885,0.07060271652,0.02166381154750864,0.003306205114602498,0.0028043260373256376,8.62581354855301e-4,1.015881261397147,364.08079864680104,0,0,0,0,0,0,0.5854668154463809,AF
A13,known_rho,treatment_effect_mean,-0.3374485596707819,25,0.84,0.010966223455981914,0.01099734912578193,0.019264225567383914,0.07165053614000001,0.02192027245628183,0.0032329832058572475,0.00295907639932859,8.842764037785821e-4,1.007858642941962,291.53454907817394,0,0,0,0,0,0,0.5392107277348732,AF
A14,default,treatment_effect_mean,0.3374485596707819,25,0.92,-0.003655551448781904,-0.008513445925781904,0.020806772794988236,0.06347617570000001,0.019488122461290166,0.004181102016552031,0.002437002120860145,7.521892760657419e-4,1.0098156268351324,398.8213360278476,0,0,0,0,0,0,0.5891272137231023,AF
A15,default,treatment_effect_mean,0,25,0.84,0.0017963512902008471,-6.2784204492305e-4,0.018782849464985228,0.05716574368103999,0.01759451469118283,0.0038164586337035545,0.002025436135018233,6.250918961824924e-4,1.0068218556353143,392.82446157145154,0,0,0,0,0,0,0.5900963383329885,AF
A16,default,treatment_effect_mean,-0.3374485596707819,25,1,0.009472655844781908,0.01006843937078189,0.01683940618471113,0.06686178672,0.02051517164997012,0.002841906577604832,0.0019155521125218435,5.921746374733714e-4,1.0074792606061016,434.53636464033025,0,0,0,0,0,0,0.5733631078857253,AF
A17,default,treatment_effect_mean,-0.3374485596707819,25,0.92,0.008685000885981906,0.01077780349078189,0.017263692479940727,0.06286009002,0.019240232609103004,0.0030455284000512916,0.0017223163090028261,5.386311681077271e-4,1.0159222272641864,139.80813728406835,0,0.8,20,0.04,0.04,0,0.6125698141072596,AF
A18,default,treatment_effect_mean,0.3374485596707819,25,0.88,-0.004448263727581911,-0.004120514635781891,0.021252268873006658,0.06810233458,0.02086453629668412,0.004242011521969102,0.0024732011873412787,7.601084037747749e-4,1.0169237296132043,332.5433634959962,0,0,0,0,0,0,0.5622039480841949,AF
A2,default,treatment_effect_mean,-0.3374485596707819,25,0.84,0.00246908717518191,5.92244670781894e-4,0.012487669152309769,0.03854420399999999,0.011765625898653922,0.002498712079743126,7.633148252484351e-4,2.3503736761253395e-4,1.0114643159861603,474.81989988994115,0,0,0,0,0,0,0.5686743141949574,AF
A3,default,treatment_effect_mean,-0.3374485596707819,25,0.92,4.021996631419111e-4,0.0042886295412818964,0.041327748862368514,0.17374327214,0.05520199380897338,0.008435591911315338,0.011975527702701171,0.003737844393780957,1.0828942865739764,18.96100690399239,0.04,7.52,69,1,0.12,0,0.5351004645507307,AF
A4,default,treatment_effect_mean,-0.3374485596707819,25,0.92,-0.0013145798646180906,1.1315144078188899e-4,0.009310509871597934,0.02864494933999999,0.008746100418812849,0.0018814608004671003,4.917864337214429e-4,1.4436573764692784e-4,1.0116616561997396,440.79884655240795,0,0,0,0,0,0,0.5998224960126973,AF
A5,default,treatment_effect_mean,-0.3374485596707819,25,0.84,-4.3933279881809063e-4,-0.001418111734218075,0.019740867966791722,0.06071262797999999,0.018467770255165217,0.004028589780008767,0.0016522735846080396,4.90783353648182e-4,1.0125370991387688,155.7261871431627,0,0.44,10,0.08,0,0,0.6966029358010787,AF
A6,default,treatment_effect_mean,-0.3374485596707819,25,0.96,-6.472147228180947e-4,0.00513161099578191,0.019804355796243713,0.08392726274,0.025545789233009458,0.004040387881579665,0.002301732858907858,7.090303992279874e-4,1.0519658346196965,28.941100075026046,0.04,13.6,115,0.44,0.28,0,0.6290626858989896,AF
A7,default,treatment_effect_mean,-0.5624142661179699,25,1,0.0016419652209698477,-1.7161407203014623e-4,0.018490005274618807,0.06750084702,0.020579784273865948,0.0037593452736068103,0.00243443930606854,7.29063568726583e-4,1.0152234715832849,238.34969888172037,0,0,0,0,0,0,0.5765162465192736,AF
A8,default,treatment_effect_mean,-0.3333333333333333,25,1,0.0013116566113333184,0.001778888758333319,0.00841317385707186,0.04813337348000001,0.014626259715272767,0.0016963324566455986,0.0013940405246249342,4.2213525437998064e-4,1.010334305401897,647.6176212549107,0,1.92,20,0.44,0.04,0,0.5269944141286982,AF
A9,default,treatment_effect_mean,-0.15,25,0.96,0.0018894021231799952,0.002288163874999999,0.0066265969000058,0.025791076360000005,0.007870005760637806,0.0012965008370624854,7.881750977618028e-4,2.4343050097196342e-4,1.0292410459830008,136.7024644335642,0,0,0,0,0,0,0.6174120189154433,AF
