scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,se_bias,se_ci_width,se_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad,mean_n_divergent,max_n_divergent,pct_reps_with_divergence,pct_reps_many_divergence,mean_n_max_treedepth,min_ebfmi_worst
A1,default,baseline_difference_sd,0,25,0,0.023831076563709412,0.024804299556358,0.025295011271515434,0.029242929168859996,0.009028378557712187,0.001731056818833427,5.861062358115215e-4,1.5818338719661236e-4,1.0100163841502847,443.76153383193787,0,0,0,0,0,0,0.5623362399068009
A1,default,time_trend_mean,-0.08998628257887518,25,0.96,-0.0017887199926048152,-0.0035185608356248094,0.010266327115975603,0.04198010874199999,0.012867557854489125,0.0020635522895429597,0.001284906404345945,3.8407574452411434e-4,1.0100163841502847,443.76153383193787,0,0,0,0,0,0,0.5623362399068009
A1,default,time_trend_sd,0.045528614603915496,25,0.84,0.005844387563324504,0.005366020402084504,0.010486549339416812,0.035319119914,0.010996274224980786,0.001777297234774395,8.663639734450758e-4,2.857553916963488e-4,1.0100163841502847,443.76153383193787,0,0,0,0,0,0,0.5623362399068009
A1,default,treatment_effect_mean,-0.3374485596707819,25,0.96,-0.003407208413418088,-0.0015372111292180635,0.017591166590045743,0.06760235986,0.02066486782856543,0.0035227834214478907,0.0017766830651957679,5.525940541158409e-4,1.0100163841502847,443.76153383193787,0,0,0,0,0,0,0.5623362399068009
A1,default,treatment_effect_sd,0.07626392697027408,25,0.92,0.008375953990965922,0.006920156221725926,0.015281885078921665,0.055543016551999995,0.017211696819927156,0.0026091138845927386,0.0012470369165270279,3.93175025817077e-4,1.0100163841502847,443.76153383193787,0,0,0,0,0,0,0.5623362399068009
A10,default,baseline_control_mean,0.45,25,0.96,0.0010441199871999963,3.960731850000121e-4,0.009645480012788603,0.040893837119999984,0.012522503749277413,0.0019573057388647995,0.001083908881735781,3.184952693401511e-4,1.0137445849557327,170.08645175960672,0,0,0,0,0,0,0.6701566286956134
A10,default,baseline_difference_sd,0,25,0,0.022412557931840132,0.02094765351373,0.023540748793608055,0.0455015697238,0.014285290994497471,0.0014697519733454594,0.0018021132554303092,5.233463767116762e-4,1.0137445849557327,170.08645175960672,0,0,0,0,0,0,0.6701566286956134
A10,default,time_trend_mean,-0.04,25,0.92,-5.547245405503994e-4,3.985083559999991e-4,0.007149203464011942,0.021717364519999997,0.0066227120419745196,0.0014549254112317853,7.997181463522404e-4,2.4452552272719003e-4,1.0137445849557327,170.08645175960672,0,0,0,0,0,0,0.6701566286956134
A10,default,time_trend_sd,0.02,25,0.84,5.060137011483077e-4,3.1390551450600004e-4,0.006867892760531671,0.02033230027794,0.006269190142830098,0.001398092466905258,5.279989316642259e-4,1.5863195637379985e-4,1.0137445849557327,170.08645175960672,0,0,0,0,0,0,0.6701566286956134
A10,default,treatment_effect_mean,-0.15,25,0.88,-3.2791442380000535e-4,-3.2502627500000103e-4,0.006365207289866898,0.022995202779999998,0.00701912548040083,0.0012975672104242907,6.763582017289044e-4,2.0517481024330905e-4,1.0137445849557327,170.08645175960672,0,0,0,0,0,0,0.6701566286956134
